serial,Name,VAR,TRT,SHAPE,SHAPE,VOL3D,SA3D,L3D,W3D,SAVOL3D,LW3D,
1,5,ORL,1B,B,FRESH,258.319,223.153,152.2,62.23,0.863865995,2.445765708,
2,11,ORL,3B,B,FRESH,351.032,274.044,169.4,66.46,0.780680964,2.548901595,
3,12,ORL,3B,B,FRESH,371.427,289.712,189.2,62.76,0.779997146,3.014659018,
4,13,ORL,3B,B,FRESH,269.588,226.399,134.8,57.54,0.839796282,2.342718109,
5,82,ORL,3B,B,FRESH,294.328,244.578,168.4,68.8,0.83097089,2.447674419,
6,84,ORL,3B,B,FRESH,355.236,277.399,175.9,65.89,0.780886509,2.66960085,
7,87,ORL,3B,B,FRESH,331.349,262.024,163.4,64.46,0.79077951,2.534905368,
8,99,ORL,3A,B,FRESH,458.072,325.254,179.8,73.53,0.710049948,2.445260438,
9,100,ORL,3A,B,FRESH,383.334,284.23,160.3,73.52,0.741468276,2.180359086,
10,106,BLV,1B,B,FRESH,351.226,263.817,146.2,70.3,0.75113175,2.079658606,
11,111,BLV,1B,B,FRESH,268.493,218.544,121.6,63.37,0.813965355,1.918889064,
12,121,BLV,1B,B,FRESH,364.615,275.058,166.2,68.48,0.754379277,2.426985981,
13,124,BLV,1B,B,FRESH,486.842,334.447,176.5,77.24,0.686972365,2.285085448,
14,130,BLV,5B,B,FRESH,256.011,211.334,132.5,65.01,0.825487967,2.038147977,
15,133,BLV,3B,B,FRESH,354.159,261.456,144.6,73.79,0.738244687,1.959615124,
16,146,BLV,3B,B,FRESH,589.147,371.893,166.1,79.74,0.631239742,2.083019814,
17,151,BLV,3B,B,FRESH,411.542,293.389,157.1,77.14,0.712901721,2.03655691,
18,158,BLV,3A,C,FRY,559.515,348.958,144.1,86.19,0.623679437,1.67188769,
19,191,BLV,5A,C,FRY,560.296,351.134,149.9,88.05,0.626693748,1.702441794,
20,206,BLV,1A,B,FRESH,286.227,234.332,145.8,68.23,0.818692856,2.136889931,
21,234,BB,3A,C,FRY,522.931,343.218,156.7,93.09,0.656335157,1.68331722,
22,249,BB,1B,B,FRESH,316.357,251.671,140,65.76,0.795528469,2.128953771,
23,261,BB,3B,B,FRESH,290.625,234.667,134.6,65.53,0.807456344,2.054021059,
24,266,BB,8A,B,FRESH,513.251,360.698,188.6,76.08,0.702771159,2.478969506,
25,280,BB,1A,B,FRESH,530.156,385.508,233.6,73.88,0.727159553,3.161884136,
